skill
python
java
c++
javascript
typescript
react
angular
vue
node
express
mongodb
mysql
postgresql
sql
redis
docker
kubernetes
aws
azure
gcp
git
github
linux
html
css
tailwind
bootstrap
tensorflow
pytorch
machine learning
deep learning
nlp
gen ai
langchain
openai
huggingface
pandas
numpy
scikit learn
fastapi
flask
django
streamlit
power bi
excel
